benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.sc_suffix,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Stripe Count Study,1,1,5,/beegfs/aloupoue/iops_runs/run_003,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0001/repetition_001,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0001/repetition_001/summary.txt,4526355,SUCCEEDED,2026-02-24 11:40:40,2026-02-24 11:42:10,Submitted batch job 4526355,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,73,0.0048,64.4317,1170.19334397328
Gys_io Benchmark - Stripe Count Study,5,1,5,/beegfs/aloupoue/iops_runs/run_003,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0005/repetition_001,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0005/repetition_001/summary.txt,4526356,SUCCEEDED,2026-02-24 11:42:10,2026-02-24 11:43:10,Submitted batch job 4526356,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,0.0025,41.2446,2265.27841435203
Gys_io Benchmark - Stripe Count Study,2,1,5,/beegfs/aloupoue/iops_runs/run_003,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0002/repetition_001,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0002/repetition_001/summary.txt,4526357,SUCCEEDED,2026-02-24 11:43:10,2026-02-24 11:44:10,Submitted batch job 4526357,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,48,0.0027,42.9878,2110.52688709973
Gys_io Benchmark - Stripe Count Study,2,2,5,/beegfs/aloupoue/iops_runs/run_003,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0002/repetition_002,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0002/repetition_002/summary.txt,4526358,SUCCEEDED,2026-02-24 11:44:11,2026-02-24 11:45:41,Submitted batch job 4526358,,0,COMPLETING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,55,0.0033,50.1292,1680.62000046707
Gys_io Benchmark - Stripe Count Study,1,2,5,/beegfs/aloupoue/iops_runs/run_003,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0001/repetition_002,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0001/repetition_002/summary.txt,4526364,SUCCEEDED,2026-02-24 11:45:41,2026-02-24 11:47:41,Submitted batch job 4526364,,0,COMPLETING,COMPLETED,0:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,86,0.0067,80.8046,837.380601396744
Gys_io Benchmark - Stripe Count Study,3,1,5,/beegfs/aloupoue/iops_runs/run_003,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0003/repetition_001,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0003/repetition_001/summary.txt,4526366,SUCCEEDED,2026-02-24 11:47:41,2026-02-24 11:48:41,Submitted batch job 4526366,,0,RUNNING,COMPLETED,0:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,45,0.0027,40.8511,2051.71846266136
Gys_io Benchmark - Stripe Count Study,3,2,5,/beegfs/aloupoue/iops_runs/run_003,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0003/repetition_002,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0003/repetition_002/summary.txt,4526367,SUCCEEDED,2026-02-24 11:48:41,2026-02-24 11:49:42,Submitted batch job 4526367,,0,RUNNING,COMPLETED,0:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,0.0028,42.6355,1982.42451874123
Gys_io Benchmark - Stripe Count Study,2,3,5,/beegfs/aloupoue/iops_runs/run_003,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0002/repetition_003,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0002/repetition_003/summary.txt,4526368,SUCCEEDED,2026-02-24 11:49:42,2026-02-24 11:50:42,Submitted batch job 4526368,,0,RUNNING,COMPLETED,0:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,50,0.0031,45.2374,1802.54133739848
Gys_io Benchmark - Stripe Count Study,3,3,5,/beegfs/aloupoue/iops_runs/run_003,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0003/repetition_003,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0003/repetition_003/summary.txt,4526372,SUCCEEDED,2026-02-24 11:50:42,2026-02-24 11:51:42,Submitted batch job 4526372,,0,RUNNING,COMPLETED,0:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,0.0027,41.2914,2040.57997468067
Gys_io Benchmark - Stripe Count Study,5,2,5,/beegfs/aloupoue/iops_runs/run_003,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0005/repetition_002,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_003/runs/exec_0005/repetition_002/summary.txt,4526374,SUCCEEDED,2026-02-24 11:51:42,2026-02-24 11:52:42,Submitted batch job 4526374,,0,RUNNING,COMPLETED,0:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,37,0.0019,32.6242,2908.80401933143
