benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.sc_suffix,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Stripe Count Study,1,1,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0001/repetition_001,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0001/repetition_001/summary.txt,4524466,SUCCEEDED,2026-02-23 16:28:03,2026-02-23 16:30:03,Submitted batch job 4524466,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,99,76.4021,91.0007,732.55
Gys_io Benchmark - Stripe Count Study,5,1,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0005/repetition_001,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0005/repetition_001/summary.txt,4524471,SUCCEEDED,2026-02-23 16:30:03,2026-02-23 16:31:03,Submitted batch job 4524471,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,22.4125,36.7686,2497.18
Gys_io Benchmark - Stripe Count Study,2,1,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0002/repetition_001,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0002/repetition_001/summary.txt,4524492,SUCCEEDED,2026-02-23 16:31:03,2026-02-23 16:32:33,Submitted batch job 4524492,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,62,43.8299,57.3856,1276.94
Gys_io Benchmark - Stripe Count Study,2,2,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0002/repetition_002,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0002/repetition_002/summary.txt,4524493,SUCCEEDED,2026-02-23 16:32:33,2026-02-23 16:34:04,Submitted batch job 4524493,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,59,41.4685,54.7984,1349.65
Gys_io Benchmark - Stripe Count Study,1,2,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0001/repetition_002,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0001/repetition_002/summary.txt,4524494,SUCCEEDED,2026-02-23 16:34:04,2026-02-23 16:35:34,Submitted batch job 4524494,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,84,65.0599,79.2237,860.25
Gys_io Benchmark - Stripe Count Study,3,1,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0003/repetition_001,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0003/repetition_001/summary.txt,4524499,SUCCEEDED,2026-02-23 16:35:34,2026-02-23 16:37:04,Submitted batch job 4524499,,0,RUNNING,COMPLETED,0:0,bora009.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,53,35.1949,48.5476,1590.23
Gys_io Benchmark - Stripe Count Study,3,2,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0003/repetition_002,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0003/repetition_002/summary.txt,4524500,SUCCEEDED,2026-02-23 16:37:04,2026-02-23 16:38:04,Submitted batch job 4524500,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,51,32.3628,45.7886,1729.39
Gys_io Benchmark - Stripe Count Study,2,3,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0002/repetition_003,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0002/repetition_003/summary.txt,4524501,SUCCEEDED,2026-02-23 16:38:04,2026-02-23 16:39:35,Submitted batch job 4524501,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,59,38.5877,53.6839,1450.41
Gys_io Benchmark - Stripe Count Study,3,3,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0003/repetition_003,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0003/repetition_003/summary.txt,4524502,SUCCEEDED,2026-02-23 16:39:35,2026-02-23 16:40:35,Submitted batch job 4524502,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,28.3156,41.6374,1976.58
Gys_io Benchmark - Stripe Count Study,5,2,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0005/repetition_002,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0005/repetition_002/summary.txt,4524506,SUCCEEDED,2026-02-23 16:40:35,2026-02-23 16:41:35,Submitted batch job 4524506,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,23.7591,37.2337,2355.65
