benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.sc_suffix,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Stripe Count Study,1,1,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0001/repetition_001,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0001/repetition_001/summary.txt,4539873,FAILED,2026-03-03 15:03:17,2026-03-03 15:04:17,Submitted batch job 4539873,,0,COMPLETING,FAILED,6:0,,,,,,,,,,,,
Gys_io Benchmark - Stripe Count Study,5,1,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0005/repetition_001,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0005/repetition_001/summary.txt,4539874,SUCCEEDED,2026-03-03 15:04:17,2026-03-03 15:05:17,Submitted batch job 4539874,,0,RUNNING,COMPLETED,0:0,bora007.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36.0,196303136.0,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40.0,21.3435,35.2663,2622.250673767386
Gys_io Benchmark - Stripe Count Study,2,1,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0002/repetition_001,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0002/repetition_001/summary.txt,4539878,SUCCEEDED,2026-03-03 15:05:17,2026-03-03 15:06:18,Submitted batch job 4539878,,0,RUNNING,COMPLETED,0:0,bora007.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,22.6661,36.8637,2469.2385216492557
Gys_io Benchmark - Stripe Count Study,2,2,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0002/repetition_002,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0002/repetition_002/summary.txt,4539879,SUCCEEDED,2026-03-03 15:06:18,2026-03-03 15:07:18,Submitted batch job 4539879,,0,RUNNING,COMPLETED,0:0,bora007.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,21.9895,36.6657,2545.215091546156
Gys_io Benchmark - Stripe Count Study,1,2,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0001/repetition_002,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0001/repetition_002/summary.txt,4539880,FAILED,2026-03-03 15:07:18,2026-03-03 15:07:48,Submitted batch job 4539880,,0,PENDING,FAILED,6:0,,,,,,,,,,,,
Gys_io Benchmark - Stripe Count Study,3,1,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0003/repetition_001,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0003/repetition_001/summary.txt,4539881,SUCCEEDED,2026-03-03 15:07:48,2026-03-03 15:08:48,Submitted batch job 4539881,,0,RUNNING,COMPLETED,0:0,bora007.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,24.4844,37.9159,2285.8639482917365
Gys_io Benchmark - Stripe Count Study,3,2,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0003/repetition_002,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0003/repetition_002/summary.txt,4539882,SUCCEEDED,2026-03-03 15:08:48,2026-03-03 15:09:49,Submitted batch job 4539882,,0,RUNNING,COMPLETED,0:0,bora007.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,21.7286,36.5584,2575.7760396691087
Gys_io Benchmark - Stripe Count Study,2,3,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0002/repetition_003,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0002/repetition_003/summary.txt,4539884,SUCCEEDED,2026-03-03 15:09:49,2026-03-03 15:10:49,Submitted batch job 4539884,,0,RUNNING,COMPLETED,0:0,bora007.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,20.2633,34.6489,2762.0381307859134
Gys_io Benchmark - Stripe Count Study,3,3,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0003/repetition_003,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0003/repetition_003/summary.txt,4539888,SUCCEEDED,2026-03-03 15:10:49,2026-03-03 15:14:19,Submitted batch job 4539888,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,21.361,37.9123,2620.1023948108327
Gys_io Benchmark - Stripe Count Study,5,2,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0005/repetition_002,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0005/repetition_002/summary.txt,4539889,SUCCEEDED,2026-03-03 15:14:19,2026-03-03 15:15:20,Submitted batch job 4539889,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,44,21.0607,39.4829,2657.461872376236
