benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.sc_suffix,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Stripe Count Study,1,1,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0001/repetition_001,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0001/repetition_001/summary.txt,4541244,FAILED,2026-03-04 09:59:30,2026-03-04 10:00:00,Submitted batch job 4541244,,0,PENDING,FAILED,6:0,,,,,,,,,,,,
Gys_io Benchmark - Stripe Count Study,5,1,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0005/repetition_001,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0005/repetition_001/summary.txt,4541255,SUCCEEDED,2026-03-04 10:00:01,2026-03-04 10:01:01,Submitted batch job 4541255,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36.0,196303136.0,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,37.0,19.1536,32.7586,2922.06
Gys_io Benchmark - Stripe Count Study,2,1,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0002/repetition_001,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0002/repetition_001/summary.txt,4541259,SUCCEEDED,2026-03-04 10:01:01,2026-03-04 10:02:01,Submitted batch job 4541259,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,37,18.4807,31.7842,3028.46
Gys_io Benchmark - Stripe Count Study,2,2,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0002/repetition_002,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0002/repetition_002/summary.txt,4541260,SUCCEEDED,2026-03-04 10:02:01,2026-03-04 10:03:01,Submitted batch job 4541260,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,35,16.1373,30.2468,3468.24
Gys_io Benchmark - Stripe Count Study,1,2,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0001/repetition_002,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0001/repetition_002/summary.txt,4541261,FAILED,2026-03-04 10:03:01,2026-03-04 10:03:31,Submitted batch job 4541261,,0,PENDING,FAILED,6:0,,,,,,,,,,,,
Gys_io Benchmark - Stripe Count Study,3,1,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0003/repetition_001,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0003/repetition_001/summary.txt,4541262,SUCCEEDED,2026-03-04 10:03:31,2026-03-04 10:04:32,Submitted batch job 4541262,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,37,19.4694,32.9442,2874.67
Gys_io Benchmark - Stripe Count Study,3,2,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0003/repetition_002,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0003/repetition_002/summary.txt,4541263,SUCCEEDED,2026-03-04 10:04:32,2026-03-04 10:05:32,Submitted batch job 4541263,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,36,18.7889,32.1284,2978.78
Gys_io Benchmark - Stripe Count Study,2,3,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0002/repetition_003,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0002/repetition_003/summary.txt,4541267,SUCCEEDED,2026-03-04 10:05:32,2026-03-04 10:06:32,Submitted batch job 4541267,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,38,19.9979,33.8023,2798.69
Gys_io Benchmark - Stripe Count Study,3,3,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0003/repetition_003,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0003/repetition_003/summary.txt,4541268,SUCCEEDED,2026-03-04 10:06:32,2026-03-04 10:07:32,Submitted batch job 4541268,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,52,33.1242,47.7533,1689.64
Gys_io Benchmark - Stripe Count Study,5,2,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0005/repetition_002,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0005/repetition_002/summary.txt,4541269,SUCCEEDED,2026-03-04 10:07:32,2026-03-04 10:08:32,Submitted batch job 4541269,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,20.3646,34.5182,2748.3
