benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth,metadata.cached,metadata.cached_at
Gys_io Benchmark - Collective IO,4,1,5,/home/aloupoue/iops_run/run_025,/home/aloupoue/iops_run/run_025/runs/exec_0004/repetition_001,16,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_025/runs/exec_0004/repetition_001/summary.txt,4708811,SUCCEEDED,2026-05-20 11:35:24,2026-05-20 11:40:25,Submitted batch job 4708811,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,13.7217,26.8332,4.66,,
Gys_io Benchmark - Collective IO,4,2,5,/home/aloupoue/iops_run/run_025,/home/aloupoue/iops_run/run_025/runs/exec_0004/repetition_002,16,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_025/runs/exec_0004/repetition_002/summary.txt,4708817,SUCCEEDED,2026-05-20 11:40:25,2026-05-20 11:41:55,Submitted batch job 4708817,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,34,12.8076,26.6406,5.0,,
Gys_io Benchmark - Collective IO,1,1,5,/home/aloupoue/iops_run/run_025,/home/aloupoue/iops_run/run_025/runs/exec_0001/repetition_001,2,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_025/runs/exec_0001/repetition_001/summary.txt,4708725,SUCCEEDED,2026-05-20 10:11:42,2026-05-20 10:14:42,Submitted batch job 4708725,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,140,31.8787,132.635,2.01,1.0,2026-05-20T10:14:43.051897
Gys_io Benchmark - Collective IO,1,2,5,/home/aloupoue/iops_run/run_025,/home/aloupoue/iops_run/run_025/runs/exec_0001/repetition_002,2,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_025/runs/exec_0001/repetition_002/summary.txt,4708726,SUCCEEDED,2026-05-20 10:14:43,2026-05-20 10:17:43,Submitted batch job 4708726,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,138,28.7377,131.351,2.23,True,2026-05-20T10:17:43.555524
Gys_io Benchmark - Collective IO,3,1,5,/home/aloupoue/iops_run/run_025,/home/aloupoue/iops_run/run_025/runs/exec_0003/repetition_001,8,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_025/runs/exec_0003/repetition_001/summary.txt,4708730,SUCCEEDED,2026-05-20 10:17:43,2026-05-20 10:18:43,Submitted batch job 4708730,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,12.3557,36.4517,5.18,True,2026-05-20T10:18:43.818867
Gys_io Benchmark - Collective IO,1,3,5,/home/aloupoue/iops_run/run_025,/home/aloupoue/iops_run/run_025/runs/exec_0001/repetition_003,2,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_025/runs/exec_0001/repetition_003/summary.txt,4708731,SUCCEEDED,2026-05-20 10:18:43,2026-05-20 10:21:14,Submitted batch job 4708731,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,137,26.7918,129.89,2.39,True,2026-05-20T10:21:14.117566
Gys_io Benchmark - Collective IO,1,4,5,/home/aloupoue/iops_run/run_025,/home/aloupoue/iops_run/run_025/runs/exec_0001/repetition_004,2,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_025/runs/exec_0001/repetition_004/summary.txt,4708735,SUCCEEDED,2026-05-20 10:21:14,2026-05-20 10:23:44,Submitted batch job 4708735,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,139,29.8362,131.679,2.15,True,2026-05-20T10:23:44.416809
Gys_io Benchmark - Collective IO,1,5,5,/home/aloupoue/iops_run/run_025,/home/aloupoue/iops_run/run_025/runs/exec_0001/repetition_005,2,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_025/runs/exec_0001/repetition_005/summary.txt,4708736,SUCCEEDED,2026-05-20 10:23:44,2026-05-20 10:26:14,Submitted batch job 4708736,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,136,26.0241,128.477,2.46,True,2026-05-20T10:26:14.710105
Gys_io Benchmark - Collective IO,4,3,5,/home/aloupoue/iops_run/run_025,/home/aloupoue/iops_run/run_025/runs/exec_0004/repetition_003,16,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_025/runs/exec_0004/repetition_003/summary.txt,4708818,SUCCEEDED,2026-05-20 11:41:56,2026-05-20 11:42:56,Submitted batch job 4708818,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,29,8.84925,21.9731,7.23,,
Gys_io Benchmark - Collective IO,4,4,5,/home/aloupoue/iops_run/run_025,/home/aloupoue/iops_run/run_025/runs/exec_0004/repetition_004,16,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_025/runs/exec_0004/repetition_004/summary.txt,4708819,SUCCEEDED,2026-05-20 11:42:56,2026-05-20 11:43:56,Submitted batch job 4708819,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,27,8.09898,20.7375,7.9,,
