benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.ost_number,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Collective IO,1,1,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0001/repetition_001,8,16,1,pdi_ost1.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0001/repetition_001/summary.txt,4709248,SUCCEEDED,2026-05-20 16:45:59,2026-05-20 16:48:29,Submitted batch job 4709248,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,116,92.8318,107.733,0.69
Gys_io Benchmark - Collective IO,5,1,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0005/repetition_001,8,16,5,pdi_ost5.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0005/repetition_001/summary.txt,4709251,SUCCEEDED,2026-05-20 16:48:30,2026-05-20 16:50:00,Submitted batch job 4709251,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,20.9349,34.9167,3.06
Gys_io Benchmark - Collective IO,2,1,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0002/repetition_001,8,16,2,pdi_ost2.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0002/repetition_001/summary.txt,4709253,SUCCEEDED,2026-05-20 16:50:00,2026-05-20 16:51:30,Submitted batch job 4709253,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,49,28.2203,42.1369,2.27
Gys_io Benchmark - Collective IO,2,2,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0002/repetition_002,8,16,2,pdi_ost2.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0002/repetition_002/summary.txt,4709260,SUCCEEDED,2026-05-20 16:51:31,2026-05-20 16:55:31,Submitted batch job 4709260,,0,RUNNING,COMPLETED,0:0,bora027.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,70,47.9769,62.2402,1.33
Gys_io Benchmark - Collective IO,1,2,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0001/repetition_002,8,16,1,pdi_ost1.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0001/repetition_002/summary.txt,4709270,SUCCEEDED,2026-05-20 16:55:31,2026-05-20 16:57:31,Submitted batch job 4709270,,0,COMPLETING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,65,43.6912,57.742,1.46
Gys_io Benchmark - Collective IO,3,1,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0003/repetition_001,8,16,3,pdi_ost3.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0003/repetition_001/summary.txt,4709274,SUCCEEDED,2026-05-20 16:57:31,2026-05-20 16:59:01,Submitted batch job 4709274,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,25.6829,39.8743,2.49
Gys_io Benchmark - Collective IO,3,2,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0003/repetition_002,8,16,3,pdi_ost3.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0003/repetition_002/summary.txt,4709277,SUCCEEDED,2026-05-20 16:59:02,2026-05-20 17:00:32,Submitted batch job 4709277,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,20.0959,34.0472,3.18
Gys_io Benchmark - Collective IO,2,3,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0002/repetition_003,8,16,2,pdi_ost2.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0002/repetition_003/summary.txt,4709283,SUCCEEDED,2026-05-20 17:00:32,2026-05-20 17:02:02,Submitted batch job 4709283,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,21.3612,35.2404,3.0
Gys_io Benchmark - Collective IO,3,3,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0003/repetition_003,8,16,3,pdi_ost3.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0003/repetition_003/summary.txt,4709284,SUCCEEDED,2026-05-20 17:02:02,2026-05-20 17:03:32,Submitted batch job 4709284,,0,COMPLETING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,38,17.2552,31.4733,3.71
Gys_io Benchmark - Collective IO,5,2,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0005/repetition_002,8,16,5,pdi_ost5.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0005/repetition_002/summary.txt,4709286,SUCCEEDED,2026-05-20 17:03:32,2026-05-20 17:04:32,Submitted batch job 4709286,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,31,10.1116,24.7813,6.33
