benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Collective IO,5,1,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0005/repetition_001,8,32,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0005/repetition_001/summary.txt,4709121,SUCCEEDED,2026-05-20 15:36:53,2026-05-20 15:38:53,Submitted batch job 4709121,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,53,7.63544,41.7499,8.38
Gys_io Benchmark - Collective IO,5,2,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0005/repetition_002,8,32,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0005/repetition_002/summary.txt,4709123,SUCCEEDED,2026-05-20 15:38:53,2026-05-20 15:40:23,Submitted batch job 4709123,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,8.44135,35.3304,7.58
Gys_io Benchmark - Collective IO,1,1,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0001/repetition_001,8,2,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0001/repetition_001/summary.txt,4709130,SUCCEEDED,2026-05-20 15:40:23,2026-05-20 15:43:24,Submitted batch job 4709130,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,126,26.6498,119.042,2.4
Gys_io Benchmark - Collective IO,4,1,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0004/repetition_001,8,16,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0004/repetition_001/summary.txt,4709132,SUCCEEDED,2026-05-20 15:43:24,2026-05-20 15:44:54,Submitted batch job 4709132,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,32,9.77716,23.9107,6.55
Gys_io Benchmark - Collective IO,1,2,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0001/repetition_002,8,2,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0001/repetition_002/summary.txt,4709134,SUCCEEDED,2026-05-20 15:44:54,2026-05-20 15:47:54,Submitted batch job 4709134,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,129,30.3445,122.722,2.11
Gys_io Benchmark - Collective IO,4,2,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0004/repetition_002,8,16,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0004/repetition_002/summary.txt,4709142,SUCCEEDED,2026-05-20 15:47:54,2026-05-20 15:49:55,Submitted batch job 4709142,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,29,7.44789,21.4934,8.59
Gys_io Benchmark - Collective IO,2,1,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0002/repetition_001,8,4,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0002/repetition_001/summary.txt,4709144,SUCCEEDED,2026-05-20 15:49:55,2026-05-20 15:51:55,Submitted batch job 4709144,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,71,18.2285,64.1071,3.51
Gys_io Benchmark - Collective IO,1,3,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0001/repetition_003,8,2,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0001/repetition_003/summary.txt,4709149,SUCCEEDED,2026-05-20 15:51:55,2026-05-20 15:54:55,Submitted batch job 4709149,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,131,27.5498,123.14,2.32
Gys_io Benchmark - Collective IO,1,4,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0001/repetition_004,8,2,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0001/repetition_004/summary.txt,4709152,SUCCEEDED,2026-05-20 15:54:55,2026-05-20 15:57:56,Submitted batch job 4709152,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,126,25.3122,119.55,2.53
Gys_io Benchmark - Collective IO,1,5,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0001/repetition_005,8,2,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0001/repetition_005/summary.txt,4709162,SUCCEEDED,2026-05-20 15:57:56,2026-05-20 16:00:56,Submitted batch job 4709162,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,128,27.2783,121.415,2.35
Gys_io Benchmark - Collective IO,3,1,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0003/repetition_001,8,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0003/repetition_001/summary.txt,4709173,SUCCEEDED,2026-05-20 16:00:56,2026-05-20 16:02:26,Submitted batch job 4709173,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40,9.14545,33.4152,7.0
Gys_io Benchmark - Collective IO,3,2,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0003/repetition_002,8,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0003/repetition_002/summary.txt,4709178,SUCCEEDED,2026-05-20 16:02:26,2026-05-20 16:03:56,Submitted batch job 4709178,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,44,12.6099,36.9442,5.08
Gys_io Benchmark - Collective IO,5,3,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0005/repetition_003,8,32,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0005/repetition_003/summary.txt,4709180,SUCCEEDED,2026-05-20 16:03:57,2026-05-20 16:05:27,Submitted batch job 4709180,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40,12.0238,32.901,5.32
Gys_io Benchmark - Collective IO,3,3,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0003/repetition_003,8,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0003/repetition_003/summary.txt,4709184,SUCCEEDED,2026-05-20 16:05:27,2026-05-20 16:06:57,Submitted batch job 4709184,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,10.9707,35.2792,5.83
Gys_io Benchmark - Collective IO,4,3,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0004/repetition_003,8,16,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0004/repetition_003/summary.txt,4709185,SUCCEEDED,2026-05-20 16:06:57,2026-05-20 16:07:57,Submitted batch job 4709185,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,29,7.99583,21.9277,8.0
Gys_io Benchmark - Collective IO,3,4,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0003/repetition_004,8,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0003/repetition_004/summary.txt,4709186,SUCCEEDED,2026-05-20 16:07:57,2026-05-20 16:09:28,Submitted batch job 4709186,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40,9.44053,33.644,6.78
Gys_io Benchmark - Collective IO,4,4,5,/home/aloupoue/iops_run/run_028,/home/aloupoue/iops_run/run_028/runs/exec_0004/repetition_004,8,16,pdi_ost8.yaml,/home/aloupoue/iops_run/run_028/runs/exec_0004/repetition_004/summary.txt,4709188,SUCCEEDED,2026-05-20 16:09:28,2026-05-20 16:10:58,Submitted batch job 4709188,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,33,9.53323,24.0077,6.71
