benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.subfile_num,vars.subfile_stripe_size,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Collective IO,5,1,5,/home/aloupoue/iops_run/run_033,/home/aloupoue/iops_run/run_033/runs/exec_0005/repetition_001,16,8,64,536870912,pdi_sub/pdi_sub64.yaml,/home/aloupoue/iops_run/run_033/runs/exec_0005/repetition_001/summary.txt,4719111,SUCCEEDED,2026-05-28 10:13:15,2026-05-28 10:14:45,Submitted batch job 4719111,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,36,14.2409,27.9153,4.49
Gys_io Benchmark - Collective IO,5,2,5,/home/aloupoue/iops_run/run_033,/home/aloupoue/iops_run/run_033/runs/exec_0005/repetition_002,16,8,64,536870912,pdi_sub/pdi_sub64.yaml,/home/aloupoue/iops_run/run_033/runs/exec_0005/repetition_002/summary.txt,4719112,SUCCEEDED,2026-05-28 10:14:45,2026-05-28 10:16:15,Submitted batch job 4719112,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,35,13.6062,27.2802,4.7
Gys_io Benchmark - Collective IO,1,1,5,/home/aloupoue/iops_run/run_033,/home/aloupoue/iops_run/run_033/runs/exec_0001/repetition_001,16,8,4,536870912,pdi_sub/pdi_sub4.yaml,/home/aloupoue/iops_run/run_033/runs/exec_0001/repetition_001/summary.txt,4719116,SUCCEEDED,2026-05-28 10:16:16,2026-05-28 10:17:46,Submitted batch job 4719116,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40,19.1009,32.3785,3.35
Gys_io Benchmark - Collective IO,4,1,5,/home/aloupoue/iops_run/run_033,/home/aloupoue/iops_run/run_033/runs/exec_0004/repetition_001,16,8,32,536870912,pdi_sub/pdi_sub32.yaml,/home/aloupoue/iops_run/run_033/runs/exec_0004/repetition_001/summary.txt,4719118,SUCCEEDED,2026-05-28 10:17:46,2026-05-28 10:18:46,Submitted batch job 4719118,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,33,12.9588,25.6959,4.94
Gys_io Benchmark - Collective IO,1,2,5,/home/aloupoue/iops_run/run_033,/home/aloupoue/iops_run/run_033/runs/exec_0001/repetition_002,16,8,4,536870912,pdi_sub/pdi_sub4.yaml,/home/aloupoue/iops_run/run_033/runs/exec_0001/repetition_002/summary.txt,4719120,SUCCEEDED,2026-05-28 10:18:46,2026-05-28 10:20:16,Submitted batch job 4719120,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,21.3832,35.0245,2.99
Gys_io Benchmark - Collective IO,4,2,5,/home/aloupoue/iops_run/run_033,/home/aloupoue/iops_run/run_033/runs/exec_0004/repetition_002,16,8,32,536870912,pdi_sub/pdi_sub32.yaml,/home/aloupoue/iops_run/run_033/runs/exec_0004/repetition_002/summary.txt,4719125,SUCCEEDED,2026-05-28 10:20:17,2026-05-28 10:21:17,Submitted batch job 4719125,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,34,14.7276,27.5422,4.35
Gys_io Benchmark - Collective IO,2,1,5,/home/aloupoue/iops_run/run_033,/home/aloupoue/iops_run/run_033/runs/exec_0002/repetition_001,16,8,8,536870912,pdi_sub/pdi_sub8.yaml,/home/aloupoue/iops_run/run_033/runs/exec_0002/repetition_001/summary.txt,4719127,SUCCEEDED,2026-05-28 10:21:17,2026-05-28 10:22:17,Submitted batch job 4719127,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,32,12.7714,25.9014,5.01
Gys_io Benchmark - Collective IO,1,3,5,/home/aloupoue/iops_run/run_033,/home/aloupoue/iops_run/run_033/runs/exec_0001/repetition_003,16,8,4,536870912,pdi_sub/pdi_sub4.yaml,/home/aloupoue/iops_run/run_033/runs/exec_0001/repetition_003/summary.txt,4719129,SUCCEEDED,2026-05-28 10:22:17,2026-05-28 10:23:47,Submitted batch job 4719129,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,18.7304,32.4194,3.42
Gys_io Benchmark - Collective IO,1,4,5,/home/aloupoue/iops_run/run_033,/home/aloupoue/iops_run/run_033/runs/exec_0001/repetition_004,16,8,4,536870912,pdi_sub/pdi_sub4.yaml,/home/aloupoue/iops_run/run_033/runs/exec_0001/repetition_004/summary.txt,4719131,SUCCEEDED,2026-05-28 10:23:48,2026-05-28 10:25:18,Submitted batch job 4719131,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40,19.538,32.6864,3.28
Gys_io Benchmark - Collective IO,1,5,5,/home/aloupoue/iops_run/run_033,/home/aloupoue/iops_run/run_033/runs/exec_0001/repetition_005,16,8,4,536870912,pdi_sub/pdi_sub4.yaml,/home/aloupoue/iops_run/run_033/runs/exec_0001/repetition_005/summary.txt,4719135,SUCCEEDED,2026-05-28 10:25:18,2026-05-28 10:26:48,Submitted batch job 4719135,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,18.5634,31.6766,3.45
