benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,4,1,5,/home/aloupoue/iops_run/run_021,/home/aloupoue/iops_run/run_021/runs/exec_0004/repetition_001,16,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_021/runs/exec_0004/repetition_001/summary.txt,4707084,SUCCEEDED,2026-05-19 12:01:50,2026-05-19 12:02:50,Submitted batch job 4707084,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,18.1777,31.3185,3.52
Gys_io Benchmark - Subfiling,4,2,5,/home/aloupoue/iops_run/run_021,/home/aloupoue/iops_run/run_021/runs/exec_0004/repetition_002,16,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_021/runs/exec_0004/repetition_002/summary.txt,4707088,SUCCEEDED,2026-05-19 12:02:50,2026-05-19 12:03:50,Submitted batch job 4707088,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,18.6003,32.3145,3.44
Gys_io Benchmark - Subfiling,1,1,5,/home/aloupoue/iops_run/run_021,/home/aloupoue/iops_run/run_021/runs/exec_0001/repetition_001,2,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_021/runs/exec_0001/repetition_001/summary.txt,4707091,SUCCEEDED,2026-05-19 12:03:51,2026-05-19 12:06:51,Submitted batch job 4707091,,0,RUNNING,COMPLETED,0:0,bora018.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,146,37.4521,138.713,1.71
Gys_io Benchmark - Subfiling,1,2,5,/home/aloupoue/iops_run/run_021,/home/aloupoue/iops_run/run_021/runs/exec_0001/repetition_002,2,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_021/runs/exec_0001/repetition_002/summary.txt,4707099,SUCCEEDED,2026-05-19 12:06:51,2026-05-19 12:09:51,Submitted batch job 4707099,,0,RUNNING,COMPLETED,0:0,bora018.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,144,35.4721,136.307,1.8
Gys_io Benchmark - Subfiling,3,1,5,/home/aloupoue/iops_run/run_021,/home/aloupoue/iops_run/run_021/runs/exec_0003/repetition_001,8,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_021/runs/exec_0003/repetition_001/summary.txt,4707102,SUCCEEDED,2026-05-19 12:09:51,2026-05-19 12:11:21,Submitted batch job 4707102,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,49,17.5676,41.928,3.64
Gys_io Benchmark - Subfiling,1,3,5,/home/aloupoue/iops_run/run_021,/home/aloupoue/iops_run/run_021/runs/exec_0001/repetition_003,2,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_021/runs/exec_0001/repetition_003/summary.txt,4707106,SUCCEEDED,2026-05-19 12:11:22,2026-05-19 12:14:22,Submitted batch job 4707106,,0,RUNNING,COMPLETED,0:0,bora018.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,147,36.7696,139.442,1.74
Gys_io Benchmark - Subfiling,1,4,5,/home/aloupoue/iops_run/run_021,/home/aloupoue/iops_run/run_021/runs/exec_0001/repetition_004,2,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_021/runs/exec_0001/repetition_004/summary.txt,4707107,SUCCEEDED,2026-05-19 12:14:22,2026-05-19 12:17:22,Submitted batch job 4707107,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,144,34.0213,137.449,1.88
Gys_io Benchmark - Subfiling,1,5,5,/home/aloupoue/iops_run/run_021,/home/aloupoue/iops_run/run_021/runs/exec_0001/repetition_005,2,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_021/runs/exec_0001/repetition_005/summary.txt,4707113,SUCCEEDED,2026-05-19 12:17:22,2026-05-19 12:20:23,Submitted batch job 4707113,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,146,33.7818,138.204,1.89
Gys_io Benchmark - Subfiling,4,3,5,/home/aloupoue/iops_run/run_021,/home/aloupoue/iops_run/run_021/runs/exec_0004/repetition_003,16,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_021/runs/exec_0004/repetition_003/summary.txt,4707118,SUCCEEDED,2026-05-19 12:20:23,2026-05-19 12:21:23,Submitted batch job 4707118,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,38,18.2061,31.0381,3.52
Gys_io Benchmark - Subfiling,4,4,5,/home/aloupoue/iops_run/run_021,/home/aloupoue/iops_run/run_021/runs/exec_0004/repetition_004,16,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_021/runs/exec_0004/repetition_004/summary.txt,4707119,SUCCEEDED,2026-05-19 12:21:23,2026-05-19 12:22:23,Submitted batch job 4707119,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,38,16.7879,30.6101,3.81
