benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.subfile_num,vars.subfile_stripe_size,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Collective IO,1,1,5,/home/aloupoue/iops_run/run_030,/home/aloupoue/iops_run/run_030/runs/exec_0001/repetition_001,8,16,2,536870912,pdi_sub/pdi_sub2.yaml,/home/aloupoue/iops_run/run_030/runs/exec_0001/repetition_001/summary.txt,4710367,SUCCEEDED,2026-05-21 10:33:36,2026-05-21 10:35:07,Submitted batch job 4710367,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,57,34.7742,49.7286,1.84
Gys_io Benchmark - Collective IO,1,2,5,/home/aloupoue/iops_run/run_030,/home/aloupoue/iops_run/run_030/runs/exec_0001/repetition_002,8,16,2,536870912,pdi_sub/pdi_sub2.yaml,/home/aloupoue/iops_run/run_030/runs/exec_0001/repetition_002/summary.txt,4710371,SUCCEEDED,2026-05-21 10:35:07,2026-05-21 10:36:37,Submitted batch job 4710371,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,57,36.2218,50.1284,1.77
Gys_io Benchmark - Collective IO,4,1,5,/home/aloupoue/iops_run/run_030,/home/aloupoue/iops_run/run_030/runs/exec_0004/repetition_001,8,16,16,536870912,pdi_sub/pdi_sub16.yaml,/home/aloupoue/iops_run/run_030/runs/exec_0004/repetition_001/summary.txt,4710372,SUCCEEDED,2026-05-21 10:36:37,2026-05-21 10:39:37,Submitted batch job 4710372,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,17.5996,31.3676,3.64
Gys_io Benchmark - Collective IO,6,1,5,/home/aloupoue/iops_run/run_030,/home/aloupoue/iops_run/run_030/runs/exec_0006/repetition_001,8,16,64,536870912,pdi_sub/pdi_sub64.yaml,/home/aloupoue/iops_run/run_030/runs/exec_0006/repetition_001/summary.txt,4710373,SUCCEEDED,2026-05-21 10:39:38,2026-05-21 10:40:38,Submitted batch job 4710373,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,44,20.4708,34.386,3.13
Gys_io Benchmark - Collective IO,4,2,5,/home/aloupoue/iops_run/run_030,/home/aloupoue/iops_run/run_030/runs/exec_0004/repetition_002,8,16,16,536870912,pdi_sub/pdi_sub16.yaml,/home/aloupoue/iops_run/run_030/runs/exec_0004/repetition_002/summary.txt,4710378,SUCCEEDED,2026-05-21 10:40:39,2026-05-21 10:41:39,Submitted batch job 4710378,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,17.6159,32.527,3.63
Gys_io Benchmark - Collective IO,4,3,5,/home/aloupoue/iops_run/run_030,/home/aloupoue/iops_run/run_030/runs/exec_0004/repetition_003,8,16,16,536870912,pdi_sub/pdi_sub16.yaml,/home/aloupoue/iops_run/run_030/runs/exec_0004/repetition_003/summary.txt,4710379,SUCCEEDED,2026-05-21 10:41:39,2026-05-21 10:42:39,Submitted batch job 4710379,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,18.3608,32.7412,3.49
Gys_io Benchmark - Collective IO,2,1,5,/home/aloupoue/iops_run/run_030,/home/aloupoue/iops_run/run_030/runs/exec_0002/repetition_001,8,16,4,536870912,pdi_sub/pdi_sub4.yaml,/home/aloupoue/iops_run/run_030/runs/exec_0002/repetition_001/summary.txt,4710380,SUCCEEDED,2026-05-21 10:42:39,2026-05-21 10:43:39,Submitted batch job 4710380,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,49,28.7234,42.6109,2.23
Gys_io Benchmark - Collective IO,6,2,5,/home/aloupoue/iops_run/run_030,/home/aloupoue/iops_run/run_030/runs/exec_0006/repetition_002,8,16,64,536870912,pdi_sub/pdi_sub64.yaml,/home/aloupoue/iops_run/run_030/runs/exec_0006/repetition_002/summary.txt,4710381,SUCCEEDED,2026-05-21 10:43:39,2026-05-21 10:45:19,Submitted batch job 4710381,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,68,46.0578,60.8679,1.39
Gys_io Benchmark - Collective IO,2,2,5,/home/aloupoue/iops_run/run_030,/home/aloupoue/iops_run/run_030/runs/exec_0002/repetition_002,8,16,4,536870912,pdi_sub/pdi_sub4.yaml,/home/aloupoue/iops_run/run_030/runs/exec_0002/repetition_002/summary.txt,4710391,SUCCEEDED,2026-05-21 10:45:19,2026-05-21 10:47:35,Submitted batch job 4710391,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,116,43.1153,57.1669,1.48
Gys_io Benchmark - Collective IO,3,1,5,/home/aloupoue/iops_run/run_030,/home/aloupoue/iops_run/run_030/runs/exec_0003/repetition_001,8,16,8,536870912,pdi_sub/pdi_sub8.yaml,/home/aloupoue/iops_run/run_030/runs/exec_0003/repetition_001/summary.txt,4710392,SUCCEEDED,2026-05-21 10:47:35,2026-05-21 10:48:35,Submitted batch job 4710392,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40,19.9955,33.9326,3.2
