benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.subfile_num,vars.subfile_stripe_size,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Collective IO,1,1,5,/home/aloupoue/iops_run/run_031,/home/aloupoue/iops_run/run_031/runs/exec_0001/repetition_001,8,16,2,536870912,pdi_sub/pdi_sub2.yaml,/home/aloupoue/iops_run/run_031/runs/exec_0001/repetition_001/summary.txt,4710880,SUCCEEDED,2026-05-21 15:05:18,2026-05-21 15:07:19,Submitted batch job 4710880,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,75,52.9501,67.0028,1.21
Gys_io Benchmark - Collective IO,1,2,5,/home/aloupoue/iops_run/run_031,/home/aloupoue/iops_run/run_031/runs/exec_0001/repetition_002,8,16,2,536870912,pdi_sub/pdi_sub2.yaml,/home/aloupoue/iops_run/run_031/runs/exec_0001/repetition_002/summary.txt,4710882,SUCCEEDED,2026-05-21 15:07:19,2026-05-21 15:09:19,Submitted batch job 4710882,,0,COMPLETING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,64,43.6266,57.9215,1.47
Gys_io Benchmark - Collective IO,4,1,5,/home/aloupoue/iops_run/run_031,/home/aloupoue/iops_run/run_031/runs/exec_0004/repetition_001,8,16,16,536870912,pdi_sub/pdi_sub16.yaml,/home/aloupoue/iops_run/run_031/runs/exec_0004/repetition_001/summary.txt,4710885,SUCCEEDED,2026-05-21 15:09:19,2026-05-21 15:10:49,Submitted batch job 4710885,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,21.5551,35.7564,2.97
Gys_io Benchmark - Collective IO,6,1,5,/home/aloupoue/iops_run/run_031,/home/aloupoue/iops_run/run_031/runs/exec_0006/repetition_001,8,16,64,536870912,pdi_sub/pdi_sub64.yaml,/home/aloupoue/iops_run/run_031/runs/exec_0006/repetition_001/summary.txt,4710889,SUCCEEDED,2026-05-21 15:10:49,2026-05-21 15:12:20,Submitted batch job 4710889,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,44,22.8598,36.7547,2.8
Gys_io Benchmark - Collective IO,4,2,5,/home/aloupoue/iops_run/run_031,/home/aloupoue/iops_run/run_031/runs/exec_0004/repetition_002,8,16,16,536870912,pdi_sub/pdi_sub16.yaml,/home/aloupoue/iops_run/run_031/runs/exec_0004/repetition_002/summary.txt,4710894,SUCCEEDED,2026-05-21 15:12:20,2026-05-21 15:13:50,Submitted batch job 4710894,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,21.5234,35.5513,2.97
Gys_io Benchmark - Collective IO,4,3,5,/home/aloupoue/iops_run/run_031,/home/aloupoue/iops_run/run_031/runs/exec_0004/repetition_003,8,16,16,536870912,pdi_sub/pdi_sub16.yaml,/home/aloupoue/iops_run/run_031/runs/exec_0004/repetition_003/summary.txt,4710896,SUCCEEDED,2026-05-21 15:13:50,2026-05-21 15:15:20,Submitted batch job 4710896,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,20.4763,34.7943,3.13
Gys_io Benchmark - Collective IO,2,1,5,/home/aloupoue/iops_run/run_031,/home/aloupoue/iops_run/run_031/runs/exec_0002/repetition_001,8,16,4,536870912,pdi_sub/pdi_sub4.yaml,/home/aloupoue/iops_run/run_031/runs/exec_0002/repetition_001/summary.txt,4710901,SUCCEEDED,2026-05-21 15:15:20,2026-05-21 15:16:50,Submitted batch job 4710901,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,48,27.5414,41.8379,2.32
Gys_io Benchmark - Collective IO,6,2,5,/home/aloupoue/iops_run/run_031,/home/aloupoue/iops_run/run_031/runs/exec_0006/repetition_002,8,16,64,536870912,pdi_sub/pdi_sub64.yaml,/home/aloupoue/iops_run/run_031/runs/exec_0006/repetition_002/summary.txt,4710902,SUCCEEDED,2026-05-21 15:16:51,2026-05-21 15:18:21,Submitted batch job 4710902,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,63,42.4599,56.3839,1.51
Gys_io Benchmark - Collective IO,2,2,5,/home/aloupoue/iops_run/run_031,/home/aloupoue/iops_run/run_031/runs/exec_0002/repetition_002,8,16,4,536870912,pdi_sub/pdi_sub4.yaml,/home/aloupoue/iops_run/run_031/runs/exec_0002/repetition_002/summary.txt,4710903,SUCCEEDED,2026-05-21 15:18:21,2026-05-21 15:19:51,Submitted batch job 4710903,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,49,28.964,43.2227,2.21
Gys_io Benchmark - Collective IO,3,1,5,/home/aloupoue/iops_run/run_031,/home/aloupoue/iops_run/run_031/runs/exec_0003/repetition_001,8,16,8,536870912,pdi_sub/pdi_sub8.yaml,/home/aloupoue/iops_run/run_031/runs/exec_0003/repetition_001/summary.txt,4710904,SUCCEEDED,2026-05-21 15:19:51,2026-05-21 15:21:21,Submitted batch job 4710904,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,58,37.8733,52.0978,1.69
