benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,5,1,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0005/repetition_001,16,32,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0005/repetition_001/summary.txt,4707269,FAILED,2026-05-19 14:03:48,2026-05-19 14:08:48,Submitted batch job 4707269,,0,RUNNING,FAILED,14:0,,,,,,,,,,,,
Gys_io Benchmark - Subfiling,5,2,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0005/repetition_002,16,32,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0005/repetition_002/summary.txt,4707290,SUCCEEDED,2026-05-19 14:08:49,2026-05-19 14:10:19,Submitted batch job 4707290,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36.0,196303136.0,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,37.0,17.025,24.3655,3.76
Gys_io Benchmark - Subfiling,1,1,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0001/repetition_001,16,2,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0001/repetition_001/summary.txt,4707295,SUCCEEDED,2026-05-19 14:10:19,2026-05-19 14:12:19,Submitted batch job 4707295,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,70,16.7826,62.604,3.81
Gys_io Benchmark - Subfiling,4,1,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0004/repetition_001,16,16,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0004/repetition_001/summary.txt,4707297,SUCCEEDED,2026-05-19 14:12:19,2026-05-19 14:13:49,Submitted batch job 4707297,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,31,16.6472,24.2195,3.84
Gys_io Benchmark - Subfiling,1,2,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0001/repetition_002,16,2,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0001/repetition_002/summary.txt,4707302,SUCCEEDED,2026-05-19 14:13:50,2026-05-19 14:15:50,Submitted batch job 4707302,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,69,17.0474,62.1936,3.75
Gys_io Benchmark - Subfiling,4,2,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0004/repetition_002,16,16,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0004/repetition_002/summary.txt,4707308,SUCCEEDED,2026-05-19 14:15:50,2026-05-19 14:19:50,Submitted batch job 4707308,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,30,15.7482,23.2705,4.06
Gys_io Benchmark - Subfiling,2,1,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0002/repetition_001,16,4,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0002/repetition_001/summary.txt,4707315,SUCCEEDED,2026-05-19 14:19:50,2026-05-19 14:21:20,Submitted batch job 4707315,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,48,18.6933,42.1228,3.42
Gys_io Benchmark - Subfiling,1,3,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0001/repetition_003,16,2,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0001/repetition_003/summary.txt,4707322,SUCCEEDED,2026-05-19 14:21:21,2026-05-19 14:23:21,Submitted batch job 4707322,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,69,16.9748,62.3072,3.77
Gys_io Benchmark - Subfiling,1,4,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0001/repetition_004,16,2,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0001/repetition_004/summary.txt,4707323,SUCCEEDED,2026-05-19 14:23:21,2026-05-19 14:25:21,Submitted batch job 4707323,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,68,16.5077,62.0464,3.88
Gys_io Benchmark - Subfiling,1,5,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0001/repetition_005,16,2,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0001/repetition_005/summary.txt,4707331,SUCCEEDED,2026-05-19 14:25:21,2026-05-19 14:27:21,Submitted batch job 4707331,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,69,16.7581,62.2148,3.82
Gys_io Benchmark - Subfiling,3,1,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0003/repetition_001,16,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0003/repetition_001/summary.txt,4707332,SUCCEEDED,2026-05-19 14:27:21,2026-05-19 14:28:52,Submitted batch job 4707332,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,35,16.1038,28.8038,3.97
Gys_io Benchmark - Subfiling,3,2,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0003/repetition_002,16,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0003/repetition_002/summary.txt,4707335,SUCCEEDED,2026-05-19 14:28:52,2026-05-19 14:30:22,Submitted batch job 4707335,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,36,15.6202,29.2773,4.1
Gys_io Benchmark - Subfiling,5,3,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0005/repetition_003,16,32,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0005/repetition_003/summary.txt,4707340,SUCCEEDED,2026-05-19 14:30:22,2026-05-19 14:31:52,Submitted batch job 4707340,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,31,17.641,23.1809,3.63
Gys_io Benchmark - Subfiling,3,3,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0003/repetition_003,16,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0003/repetition_003/summary.txt,4707342,SUCCEEDED,2026-05-19 14:31:52,2026-05-19 14:33:22,Submitted batch job 4707342,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,35,15.6118,28.7447,4.1
Gys_io Benchmark - Subfiling,4,3,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0004/repetition_003,16,16,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0004/repetition_003/summary.txt,4707345,SUCCEEDED,2026-05-19 14:33:23,2026-05-19 14:34:53,Submitted batch job 4707345,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,31,16.9786,24.54,3.77
Gys_io Benchmark - Subfiling,3,4,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0003/repetition_004,16,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0003/repetition_004/summary.txt,4707347,SUCCEEDED,2026-05-19 14:34:53,2026-05-19 14:36:23,Submitted batch job 4707347,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,36,16.3209,29.0925,3.92
Gys_io Benchmark - Subfiling,4,4,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0004/repetition_004,16,16,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0004/repetition_004/summary.txt,4707366,SUCCEEDED,2026-05-19 14:36:23,2026-05-19 14:37:53,Submitted batch job 4707366,,0,COMPLETING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,32,17.1157,24.6898,3.74
Gys_io Benchmark - Subfiling,2,2,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0002/repetition_002,16,4,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0002/repetition_002/summary.txt,4707372,SUCCEEDED,2026-05-19 14:37:53,2026-05-19 14:39:24,Submitted batch job 4707372,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,16.554,40.8091,3.87
Gys_io Benchmark - Subfiling,5,4,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0005/repetition_004,16,32,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0005/repetition_004/summary.txt,4707373,SUCCEEDED,2026-05-19 14:39:24,2026-05-19 14:40:24,Submitted batch job 4707373,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,31,17.3053,22.921,3.7
Gys_io Benchmark - Subfiling,3,5,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0003/repetition_005,16,8,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0003/repetition_005/summary.txt,4707377,SUCCEEDED,2026-05-19 14:40:24,2026-05-19 14:41:54,Submitted batch job 4707377,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,36,16.8793,29.611,3.79
Gys_io Benchmark - Subfiling,4,5,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0004/repetition_005,16,16,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0004/repetition_005/summary.txt,4707385,SUCCEEDED,2026-05-19 14:41:54,2026-05-19 14:42:54,Submitted batch job 4707385,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,32,16.6461,24.1978,3.84
Gys_io Benchmark - Subfiling,2,3,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0002/repetition_003,16,4,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0002/repetition_003/summary.txt,4707386,SUCCEEDED,2026-05-19 14:42:54,2026-05-19 14:44:25,Submitted batch job 4707386,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,15.8198,38.895,4.05
Gys_io Benchmark - Subfiling,2,4,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0002/repetition_004,16,4,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0002/repetition_004/summary.txt,4707387,SUCCEEDED,2026-05-19 14:44:25,2026-05-19 14:45:55,Submitted batch job 4707387,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,17.3382,40.7124,3.69
Gys_io Benchmark - Subfiling,2,5,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0002/repetition_005,16,4,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0002/repetition_005/summary.txt,4707391,SUCCEEDED,2026-05-19 14:45:55,2026-05-19 14:47:25,Submitted batch job 4707391,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,15.4307,39.6668,4.15
Gys_io Benchmark - Subfiling,5,5,5,/home/aloupoue/iops_run/run_022,/home/aloupoue/iops_run/run_022/runs/exec_0005/repetition_005,16,32,pdi_sub.yaml,/home/aloupoue/iops_run/run_022/runs/exec_0005/repetition_005/summary.txt,4707397,SUCCEEDED,2026-05-19 14:47:25,2026-05-19 14:48:25,Submitted batch job 4707397,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,32,18.0029,23.448,3.55
