benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.subfile_stripe_size,vars.subfile_number,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,21,1,5,/beegfs/aloupoue/iops_runs/run_065,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0021/repetition_001,536870912,8,pdi_sub8.yaml,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0021/repetition_001/summary.txt,4658157,SUCCEEDED,2026-04-16 00:29:42,2026-04-16 00:49:43,Submitted batch job 4658157,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,45,10.7145,33.3431,5.97
Gys_io Benchmark - Subfiling,17,1,5,/beegfs/aloupoue/iops_runs/run_065,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0017/repetition_001,268435456,16,pdi_sub16.yaml,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0017/repetition_001/summary.txt,4658172,SUCCEEDED,2026-04-16 00:49:43,2026-04-16 00:52:13,Submitted batch job 4658172,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,11.4105,31.1575,5.61
Gys_io Benchmark - Subfiling,25,1,5,/beegfs/aloupoue/iops_runs/run_065,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0025/repetition_001,536870912,128,pdi_sub128.yaml,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0025/repetition_001/summary.txt,4658177,SUCCEEDED,2026-04-16 00:52:13,2026-04-16 01:01:14,Submitted batch job 4658177,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,44,12.1195,32.6166,5.28
Gys_io Benchmark - Subfiling,10,1,5,/beegfs/aloupoue/iops_runs/run_065,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0010/repetition_001,67108864,128,pdi_sub128.yaml,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0010/repetition_001/summary.txt,4658187,SUCCEEDED,2026-04-16 01:01:14,2026-04-16 01:02:14,Submitted batch job 4658187,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,15.0497,33.2018,4.25
Gys_io Benchmark - Subfiling,18,1,5,/beegfs/aloupoue/iops_runs/run_065,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0018/repetition_001,268435456,32,pdi_sub32.yaml,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0018/repetition_001/summary.txt,4658188,SUCCEEDED,2026-04-16 01:02:14,2026-04-16 01:03:14,Submitted batch job 4658188,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,45,13.7345,33.8779,4.66
Gys_io Benchmark - Subfiling,23,1,5,/beegfs/aloupoue/iops_runs/run_065,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0023/repetition_001,536870912,32,pdi_sub32.yaml,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0023/repetition_001/summary.txt,4658189,SUCCEEDED,2026-04-16 01:03:14,2026-04-16 01:04:14,Submitted batch job 4658189,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,14.7943,32.711,4.33
Gys_io Benchmark - Subfiling,3,1,5,/beegfs/aloupoue/iops_runs/run_065,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0003/repetition_001,33554432,32,pdi_sub32.yaml,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0003/repetition_001/summary.txt,4658190,SUCCEEDED,2026-04-16 01:04:14,2026-04-16 01:05:15,Submitted batch job 4658190,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,45,13.4974,35.213,4.74
Gys_io Benchmark - Subfiling,8,1,5,/beegfs/aloupoue/iops_runs/run_065,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0008/repetition_001,67108864,32,pdi_sub32.yaml,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0008/repetition_001/summary.txt,4658194,SUCCEEDED,2026-04-16 01:05:15,2026-04-16 01:06:15,Submitted batch job 4658194,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,14.346,36.552,4.46
Gys_io Benchmark - Subfiling,5,1,5,/beegfs/aloupoue/iops_runs/run_065,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0005/repetition_001,33554432,128,pdi_sub128.yaml,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0005/repetition_001/summary.txt,4658195,SUCCEEDED,2026-04-16 01:06:15,2026-04-16 01:07:45,Submitted batch job 4658195,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,14.0888,36.9716,4.54
Gys_io Benchmark - Subfiling,17,2,5,/beegfs/aloupoue/iops_runs/run_065,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0017/repetition_002,268435456,16,pdi_sub16.yaml,/beegfs/aloupoue/iops_runs/run_065/runs/exec_0017/repetition_002/summary.txt,4658196,SUCCEEDED,2026-04-16 01:07:45,2026-04-16 01:09:15,Submitted batch job 4658196,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,13.6415,35.1971,4.69
