benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,4,1,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0004/repetition_001,16,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0004/repetition_001/summary.txt,4707524,SUCCEEDED,2026-05-19 15:50:06,2026-05-19 15:51:38,Submitted batch job 4707524,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,70,47.1852,60.1369,1.36
Gys_io Benchmark - Subfiling,4,2,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0004/repetition_002,16,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0004/repetition_002/summary.txt,4707538,SUCCEEDED,2026-05-19 15:51:38,2026-05-19 15:53:11,Submitted batch job 4707538,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,72,45.3957,58.0821,1.41
Gys_io Benchmark - Subfiling,1,1,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0001/repetition_001,2,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0001/repetition_001/summary.txt,4707540,SUCCEEDED,2026-05-19 15:53:11,2026-05-19 15:55:41,Submitted batch job 4707540,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,136,12.1038,124.217,5.29
Gys_io Benchmark - Subfiling,1,2,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0001/repetition_002,2,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0001/repetition_002/summary.txt,4707547,SUCCEEDED,2026-05-19 15:55:41,2026-05-19 15:58:11,Submitted batch job 4707547,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,126,14.5402,118.091,4.4
Gys_io Benchmark - Subfiling,3,1,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0003/repetition_001,8,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0003/repetition_001/summary.txt,4707553,SUCCEEDED,2026-05-19 15:58:11,2026-05-19 15:59:41,Submitted batch job 4707553,,0,COMPLETING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,58,23.5022,47.7243,2.72
Gys_io Benchmark - Subfiling,1,3,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0001/repetition_003,2,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0001/repetition_003/summary.txt,4707558,SUCCEEDED,2026-05-19 15:59:42,2026-05-19 16:02:12,Submitted batch job 4707558,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,124,4.11459,106.275,15.55
Gys_io Benchmark - Subfiling,1,4,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0001/repetition_004,2,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0001/repetition_004/summary.txt,4707563,SUCCEEDED,2026-05-19 16:02:12,2026-05-19 16:04:42,Submitted batch job 4707563,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,122,5.05934,106.632,12.65
Gys_io Benchmark - Subfiling,1,5,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0001/repetition_005,2,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0001/repetition_005/summary.txt,4707564,SUCCEEDED,2026-05-19 16:04:42,2026-05-19 16:07:12,Submitted batch job 4707564,,0,RUNNING,COMPLETED,0:0,bora012.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,122,3.36954,109.521,18.99
Gys_io Benchmark - Subfiling,4,3,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0004/repetition_003,16,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0004/repetition_003/summary.txt,4707570,SUCCEEDED,2026-05-19 16:07:13,2026-05-19 16:08:46,Submitted batch job 4707570,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,68,41.7502,54.8295,1.53
Gys_io Benchmark - Subfiling,4,4,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0004/repetition_004,16,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0004/repetition_004/summary.txt,4707571,SUCCEEDED,2026-05-19 16:08:46,2026-05-19 16:10:22,Submitted batch job 4707571,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,70,46.2371,59.149,1.38
Gys_io Benchmark - Subfiling,3,2,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0003/repetition_002,8,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0003/repetition_002/summary.txt,4707575,SUCCEEDED,2026-05-19 16:10:22,2026-05-19 16:11:52,Submitted batch job 4707575,,0,RUNNING,COMPLETED,0:0,bora029.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,60,24.2274,49.8959,2.64
Gys_io Benchmark - Subfiling,3,3,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0003/repetition_003,8,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0003/repetition_003/summary.txt,4707577,SUCCEEDED,2026-05-19 16:11:53,2026-05-19 16:13:23,Submitted batch job 4707577,,0,RUNNING,COMPLETED,0:0,bora029.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,58,22.0924,47.2586,2.9
Gys_io Benchmark - Subfiling,4,5,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0004/repetition_005,16,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0004/repetition_005/summary.txt,4707579,SUCCEEDED,2026-05-19 16:13:23,2026-05-19 16:14:56,Submitted batch job 4707579,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,68,41.0723,54.7273,1.56
Gys_io Benchmark - Subfiling,2,1,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0002/repetition_001,4,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0002/repetition_001/summary.txt,4707581,SUCCEEDED,2026-05-19 16:14:56,2026-05-19 16:16:26,Submitted batch job 4707581,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,74,14.1996,62.9897,4.51
Gys_io Benchmark - Subfiling,3,4,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0003/repetition_004,8,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0003/repetition_004/summary.txt,4707586,SUCCEEDED,2026-05-19 16:16:27,2026-05-19 16:17:57,Submitted batch job 4707586,,0,COMPLETING,COMPLETED,0:0,bora029.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,57,24.651,49.7199,2.6
Gys_io Benchmark - Subfiling,2,2,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0002/repetition_002,4,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0002/repetition_002/summary.txt,4707588,SUCCEEDED,2026-05-19 16:17:57,2026-05-19 16:19:27,Submitted batch job 4707588,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,73,14.8498,64.9181,4.31
Gys_io Benchmark - Subfiling,3,5,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0003/repetition_005,8,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0003/repetition_005/summary.txt,4707589,SUCCEEDED,2026-05-19 16:19:27,2026-05-19 16:20:57,Submitted batch job 4707589,,0,COMPLETING,COMPLETED,0:0,bora029.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,57,23.0198,48.0796,2.78
Gys_io Benchmark - Subfiling,2,3,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0002/repetition_003,4,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0002/repetition_003/summary.txt,4707595,SUCCEEDED,2026-05-19 16:20:57,2026-05-19 16:22:28,Submitted batch job 4707595,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,73,14.1318,62.3474,4.53
Gys_io Benchmark - Subfiling,2,4,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0002/repetition_004,4,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0002/repetition_004/summary.txt,4707599,SUCCEEDED,2026-05-19 16:22:28,2026-05-19 16:23:59,Submitted batch job 4707599,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,73,13.6278,62.8005,4.7
Gys_io Benchmark - Subfiling,2,5,5,/home/aloupoue/iops_run/run_023,/home/aloupoue/iops_run/run_023/runs/exec_0002/repetition_005,4,8,pdi_fpp8.yaml,/home/aloupoue/iops_run/run_023/runs/exec_0002/repetition_005/summary.txt,4707604,SUCCEEDED,2026-05-19 16:23:59,2026-05-19 16:25:29,Submitted batch job 4707604,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,74,11.4003,59.9498,5.61
